codigo,componente,titulo original,titulo leigo,CIDS10 possíveis,CID10 mais frequente,definição,critérios de inclusão,critérios de exclusão,considerar,nota,
D74,7,Neoplasia maligna do estômago,Câncer do estômago,C16,C16,aparência histológica característica,carcinoma do estômago,,outras neoplasias malignas (quando a localização primária é desconhecida) D77; neoplasias de benignidade ou malignidade desconhecida (quando a histologia não se encontra disponível) D78,,
D75,7,Neoplasia maligna do cólon/reto,Câncer do cólon/reto,"C18, C19, C20, C21",C18,aparência histológica característica,,,outras neoplasias malignas (quando a localização primária é desconhecida) D77; neoplasias de benignidade ou malignidade desconhecida(quando a histologia não se encontra disponível) D78,,
D76,7,Neoplasia maligna do pâncreas,Câncer do pâncreas,C25,C25,aparência histológica característica,carcinoma do pâncreas,,neoplasias de benignidade ou malignidade desconhecida (quando a histologia não se encontra disponível) D78,,
D77,7,Neoplasia maligna do aparelho digestivo NE,Câncer do aparelho digestivo NE,"C00, C01, C02, C03, C04, C05, C06, C07, C08, C14.8, C15, C17, C22, C23, C24, C26, C45.1, C46.2, C48, C45.7",C26,,todo o tipo de malignidade primária do aparelho digestivo excetuando D74 a D76; câncer da vesícula; câncer do fígado,malignidade secundária de localização conhecida (codificar de acordo com a localização);localização desconhecida A79,benigna/ incerta neoplasia digestiva D78,,
D78,7,Neoplasia benigna do aparelho digestivo/incerta,Tumor benigno do aparelho digestivo/incerto,"D00, D01, D10, D11, D12, D13, D20, D37, D48.3, D48.4, K31.7, K62.0, K62.1, K63.5, D19.1",D13,,"pólipos do estômago, duodeno, cólon, reto",,,,
D79,7,Corpo estranho no aparelho digestivo,Corpo estranho no aparelho digestivo,T18,T18,,"corpo estranho no tubo digestivo, incluindo boca, esôfago e reto","corpo estranho na laringe R87, inalado R87",,,
D80,7,Outras lesões traumáticas,Outras lesões traumáticas,"S00.5, S01.5, S02.5, S03.2, S09.9, S10.0, S36.1, S36.2, S36.3, S36.4, S36.5, S36.6, S36.8, S36.9, T28.0, T28.1, T28.2, T28.5, T28.6, T28.7",S36,,"traumatismos dos órgãos abdominais, dentes e língua","traumatismos de múltiplos órgãos A81, órgãos pélvicos X82, Y80",,,
D81,7,Malformações congênitas do aparelho digestivo,Malformações congênitas do aparelho digestivo,"Q18, Q35, Q36, Q37, Q38, Q39, Q40, Q41, Q42, Q43, Q44, Q45",Q45,,"malformações biliares; lábio e palato leporinos; divertículo de Meckel; megacólon, doença de Hirschprung; atresia esofágica; estenose pilórica; língua presa","hemangioma, linfangioma B79; alterações congênitas do metabolismo T80",,,
D82,7,Doença dos dentes/gengivas,Doença dos dentes/gengivas,"K00.0, K00.1, K00.2, K00.3, K00.4, K00.5, K00.6, K00.8, K00.9, K01, K02, K03, K04, K05, K06, K07, K08, K09, K10",K08,,cáries; abcessos; gengivite; mal-oclusão; perturbação da articulação temporomandibular; angina de Vincent,dentição D19; problemas com a dentadura D19; traumatismo dos dentes e gengivas D80,,,
D83,7,Doença da boca/língua/lábios,Doença da boca/língua/lábios,"A69.0, A69.1, B37.0, K11, K12, K13.0, K13.2, K13.3, K13.4, K13.5, K13.6, K13.7, K14.0, K14.1, K14.2, K14.3, K14.4, K14.8, K14.9",K13.7,,úlcera aftosa; quilose; glossite; mucocele; parotite; cálculo salivar; estomatite; aftas,caxumba D71; traumatismos D80; herpes simples S71,,,
D84,7,Doença do esôfago,Doença do esôfago,"K20, K21, K22, K23",K22,,"acalasia, divertículo, síndrome de Mallory-Weiss, esofagite, refluxo, ulceração",câncer do esôfago D77; hérnia do hiato D90; varizes esofágicas K99,,,
D85,7,Úlcera do duodeno,Úlcera do duodeno,K26,K26,achados imagiológicos característicos; ou sinais endoscópicos característicos; ou sintomas exacerbados em paciente com história clínica de úlcera no duodeno,"hemorragia, obstrução, perfuração",,azia D03; indigestão D07,,
D86,7,"Úlcera péptica, outra","Úlcera péptica, outra","E16.4, K25, K27, K28",K27,sinais imagiológicos característicos; ou sinais endoscópicos característicos; ou sintomas exacerbados num paciente com história prévia de úlcera,"gástrica, gastrojejunal, marginal; erosões agudas; úlcera péptica NE",úlcera esofágica D84; úlcera duodenal D85,azia D03; indigestão D07,,
D87,7,Alterações funcionais estômago,Alterações funcionais estômago,"K29, K31.0, K31.1, K31.2, K31.3, K31.4, K31.5, K31.6, K31.8, K31.9",K29,resultados de investigação indicando mau funcionamento do estômago,dilatação aguda do estômago; duodenite; gastrite (incl alcoólica),"gastrite ou enterite infecciosa D70,D73","dores abdominais D01, D06; dores epigástricas D02; azia D03; indigestão/dispepsia D07; gases intestinais D08; náusea D09; esofagite D84; vômitos D10",,
D88,7,Apendicite,Apendicite,"K35, K36, K37",K37,"evidência objetiva de apêndice inflamado, detectado por intervenção cirúrgica ou exame histológico","abcesso do apêndice, perfuração",,"dores abdominais D01, D06; vômitos D10",,
D89,7,Hérnia inguinal,Hérnia inguinal,K40,K40,inchaço da região inguinal e impulso transmitido pela tosse; ou aumento de volume por compressão; ou redutível ao abdômen; ou obstrução intestinal,,hérnia femural D91,inchaço do abdômen D24,,
D90,7,Hérnia de hiato /diafragmática,Hérnia de hiato /diafragmática,K44,K44,"sinais característicos por imagiologia, endoscopia, estudos de pressão intraluminal; ou durante intervenção cirúrgica",hérnia diafragmática,"esofagite, refluxo D84",dores epigástricas D02; azia D03; indigestão D07,,
D91,7,"Hérnia abdominal, outras","Hérnia abdominal, outras","K41, K42, K43, K45, K46",K46,"identificação por intervenção cirúrgica; ou inchaço na zona especificada e impulso transmitido pela tosse; ou aumento de volume por compressão, ou redutível ao abdômen, ou obstrução intestinal","femural, incisional, umbilical, ventral",hérnia do hiato D90,inchaço abdominal D24,,
D92,7,Doença diverticular intestinal,Doença diverticular intestinal,K57,K57,"sinais imagiológicos de divertículo; demonstração de divertículo na cirurgia; ou dores abdominais agudas com febre, e palpação dolorosa do cólon descendente ou da sigmóide",diverticulite; diverticulose do intestino,divertículo de Meckel D81; divertículo esofágico D84,"dores abdominais D01, D06",,
D93,7,Síndrome do cólon irritável,Síndrome do cólon irritável,K58,K58,"dores abdominais contínuas ou intermitentes e alteração do trânsito intestinal ao longo de determinado período de tempo; e gases intestinais, ou cólon palpável e sensível, ou história clínica de fezes com muco sem sangue","colite mucosa, colite espástica","doença intestinal de origem infecciosa D70, D73; enterite regional D94; gastrenterite e colite alérgicas, dietéticas e tóxicas D99; insuficiência vascular do intestino D99; diarréia psicogênica P75","dores abdominais D01, D06; flatulência D08; diarréia D11; prisão de ventre D12",,
D94,7,Enterite crónica/colite ulcerosa,Enterite crônica/colite ulcerosa,"K50, K51, K52.0",K63.9,"manifestações características endoscópicas, imagiológicas ou histológicas","doença de Crohn, enterite regional, colite ulcerosa",,"dores abdominais D01, D06; diarréia D11; colite mucosa D93",,
D95,7,Fissura anal / abcesso perianal,Fissura anal / abcesso perianal,"K60, K61",K63,,"fístula anal, abcesso isquiorretal",abcesso pilonidal S85,,,
D96,7,Lombrigas /outros parasitas,Lombrigas /outros parasitas,"B65, B66, B67, B68, B69, B70, B71, B72, B73, B74, B75, B76, B77, B78, B79, B80, B81, B82, B83",B83,"manifestações de helmintas em forma adulta, larva ou ova; exames dermatológicos positivos; ou sorologia positiva",cestóides; parasitas intestinais não-especificados; triquiníase; doença hidática,,,,
D97,7,Doenças do fígado /NE,Doenças do fígado /NE,"B58.1, B94.2, K70, K71, K72, K73, K74, K75, K76, K77",K76,,"hepatite alcoólica, cirrose, fígado gordo, hepatite NE, insuficiência hepática, hipertensão portal","hepatite viral D72, doença hidática D96",,,
D98,7,"Colecistite, colelitiase","Colecistite, colelitiase","K80, K81, K82, K83, K87.0",K83,"colecistite: evidência de patologia típica por ecografia ou intervenção cirúrgica; ou quadrante superior direito doloroso e icterícia ou febre ou história clínica de cálculos; colelitíase: demonstração imagiológica ou cirúrgica de cálculos; cólica biliar aguda: dores abdominais agudas do quadrante superior direito sem febre; e icterícia ou quadrante superior direito doloroso, ou história clínica de cálculos na vesícula","cólicas biliares, colangite, cálculos",,dores abdominais localizadas D06,,
D99,7,Outra doença do aparelho digestivo,Outra doença do aparelho digestivo,"K31, K38, K52.1, K52.2, K52.8, K52.9, K55, K56.0, K56.1, K56.2, K56.3, K56.5, K56.6, K56.7, K59.2, K59.3, K59.8, K59.9, K62.2, K62.3, K62.4, K62.6, K62.7, K62.8, K62.9, K63, K65, K66, K67, K85, K86, K87.1, K90, K91.1, K91.2, K91.5, K91.8, K91.9, K92.2, K92.8, K92.9, K93, Z90.3, Z90.4, Z94.4, Z98.0",K92,,"aderências abdominais; doença celíaca; síndrome do esvaziamento rápido; intolerância alimentar;  gastroenteropatia alérgica, toxica e diabética; íleo; obstrução intestinal; intuscepção; síndrome de malabsorção; doença vascular mesentérica; doenças pancreáticas; peritonite; megacólon secundário; espru; e outras doenças do sistema digestivo NE","colite associada a antibióticos A85, doença maligna D74-D77",,,
F01,1,Dor no olho,Dor no olho,H57.1,H57.1,,,sensações anormais no olho F13,,,
F02,1,Olho vermelho,Olho vermelho,H57.8,H57.8,,"olhos congestionados, inflamados",,,,
F03,1,Secreção ocular,Secreção ocular,H04.2,H04.2,,"lacrimejo, secreção purulenta",,,,
F04,1,Moscas volantes/pontos luminosos/escotomas/ manchas,Moscas volantes/pontos luminosos/escotomas/ manchas,H53.1,H53.1,,pontos fixos ou flutuantes no campo visual,perda de visão F94,,,
F05,1,Outras perturbações visuais,Outras perturbações visuais,"H53.1, H53.2, H53.3, H53.8, H53.9, H54.7",H53,,visão turva; dificuldade em ler; diplopia; vista esforçada; escotoma e ofuscamento em caso de sintomas confinados à vista; cegueira temporária NE; perda de visão; vista cansada,"fotofobia F13, cegueira da neve F79, erros de refração F91, cegueira permanente F94, daltonismo F99, cegueira noturna F99",,,
F13,1,Sensações oculares anormais,Sensações oculares anormais,H57.8,H57.8,,ardor nos olhos; olhos secos; prurido nos olhos; fotofobia,dor no olho F01,,,
F14,1,Movimentos oculares anormais,Movimentos oculares anormais,H55,H55,,"pestanejar anormal, ambliopia, nistagmo, contração espasmódica",estrabismo F95; tiques dos olhos P10,,,
F15,1,Aparência anormal nos olhos,Aparência anormal nos olhos,H57.8,H57.8,,alteração da cor dos olhos; olhos inchados,olho vermelho F02,,,
F16,1,Sinais/sintomas das pálpebras,Inchaço/ sintomas das pálpebras,"H02.2, H02.3, H02.4, H02.5, H02.6, H02.7, H02.8, H02.9",H02,,ptose palpebral,pálpebras inflamadas F72,,,
F17,1,Sinais/sintomas relacionados a óculos,Alergias/sintomas relacionados a óculos,Z46.0,Z46.0,,"problemas com os óculos afetando a estrutura, função ou sensações dos olhos",problemas com lentes de contato F18,,,
F18,1,Sinais/sintomas relacionados a lentes de contato,Alergias/sintomas relacionados a lentes de contato,Z46.0,Z46.0,,"problemas com as lentes de contato afetando a estrutura, função ou sensações dos olhos",,,,
F27,1,Medo de doença ocular,Medo de doença ocular,Z71.1,Z71.1,"paciente que receia ter uma doença ocular sem a ter, ou até o diagnóstico ser confirmado",medo de cegueira,"se o paciente tem a doença, codifique-a",,,
F28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,"H54.4, H54.5, H54.6, Z73.6",Z73.6,limitação funcional/ incapacidade devido a problema de visão/ nos olhos,cegueira de um olho; incapacidade devida ao olho ou problemas de visão,cegueira F94,,Os quadros COOP/WONCA permitem codificar o estado funcional do paciente (ver Capítulo 8).,
F29,1,Outros sinais/sintomas oculares,Outros sinais/sintomas oculares,"H57.9, H57.8",H57,,,,,,
F70,7,Conjuntivite infecciosa,Conjuntivite infecciosa,"A74.0, B30, H10.0, H10.2, H10.3, H10.4, H10.5, H10.8, H10.9, H13",H10,inflamação das conjuntivas sem as condições referidas em exclusão,bacteriana e viral; NE,"alérgica com e sem rinorréia F71, queimadura por clarão F79, tracoma F86",,,
F71,7,Conjuntivite alérgica,Conjuntivite alérgica,H10.1,H10.1,"hiperemia das conjuntivas, lacrimejo excessivo, prurido e possível edema da conjuntiva sem as condições referidas em exclusão",alérgica com ou sem rinorréia,"conjuntivite bacteriana e viral F70, queimadura por clarão F79, tracoma F86",,,
F72,7,Blefarite/hordéolo/calázio,Blefarite/hordéolo/calázio,"H00, H01",H01,"inflamação generalizada ou localizada e/ou pálpebras inchadas, incluindo as glândulas társicas",dermatite; dermatose das pálpebras; hordéolo; infecção; cisto de Meibomius; cisto társico,dacriocistite F73,,,
F73,7,Outras infecções/inflamações oculares,Outras infecções/inflamações oculares,"B00.5, B58.0, H03, H04.3, H04.4, H05.0, H05.1, H16.1, H16.2, H16.3, H16.4, H16.8, H16.9, H20, H21, H22, H30, H32, H44.0, H44.1",H57.9,,dacriocistite; herpes simples sem úlcera da córnea; herpes zóster oftálmico; irite; iridociclite; queratite,"úlcera da córnea (herpes) F85, tracoma F86",,,
F74,7,Neoplasia do olho/anexos,Neoplasia do olho/anexos,"C69, D09.2, D31, D48.7",D48.7,,benignas e malignas,,,,
F75,7,Contusão/hemorragia ocular,Contusão/hemorragia ocular,"H11.3, H57.8, S00.1, S05.1",S00.1,,olho negro; hifema; hemorragia subconjuntival,úlcera da córnea F85,,,
F76,7,Corpo estranho ocular,Corpo estranho ocular,T15,T15,,,escoriação da córnea F79,,,
F79,7,Outras lesões traumáticas oculares,Outras lesões traumáticas oculares,"H16.1, H44.6, H44.7, S00.2, S01.1, S05.0, S05.2, S05.3, S05.4, S05.5, S05.6, S05.7, S05.8, S05.9, S09.9, T26",S05,,"escoriação da córnea, queimadura por clarão, cegueira provocada pela neve","contusão/hemorragia F75, corpo estranho F76",,,
F80,7,Obstrução canal lacrimal da criança,Obstrução do canal lacrimal da criança,Q10.5,Q10.5,corrimento de lágrimas sem choro com início antes dos três meses de idade,,"dacriocistite F73, em pessoas idosas F99",,,
F81,7,Outras malformações congênitas do olho,Outras malformações congênitas do olho,"Q10.0, Q10.1, Q10.2, Q10.3, Q10.4, Q10.6, Q10.7, Q11, Q12, Q13, Q14, Q15",Q15,,,,,,
F82,7,Descolamento da retina,Descolamento da retina,H33,H33.2,,,,,,
F83,7,Retinopatia,Retinopatia,"H35.0, H35.1, H35.2, H35.4, H36",H35.0,,"diabética, hipertensiva ou outras",,,"Codificar também as doenças sabidamente causadoras, por exemplo, diabetes T89, T90 ou hipertensão K87",
F84,7,Degeneração macular,Degeneração macular,H35.3,H35.3,,,retinopatia F83,,,
F85,7,Ulcera da córnea,Ulcera da córnea,"H16.0, H19",H16.0,,úlcera dendrítica; queratite viral,"escoriação da córnea F75, outros traumatismos F79",,,
F86,7,Tracoma,Tracoma,"A71, B94.0",A71,"evidência de infecção com Chlamydia trachomatis ou características clínicas típicas, incluindo inflamação e hipertrofia da conjuntiva com formação de grânulos amarelados ou acinzentados",,,"olho vermelho F02, corrimento do saco lacrimal F03",,
F91,7,Erro de refração,Erro de refração/ miopia/ hipermetropia/ astigmatismo,"H52, H44.2",H52.7,déficit visual corrigível com lentes apropriadas,astigmatismo; hipermetropia; visão longa; miopia; presbiopia; visão curta,cegueira e acuidade visual reduzida NE F94,,,
F92,7,Catarata,Catarata,"H25, H26, H28",H26,"opacidade total ou parcial da lente óptica, reduzindo ou enfraquecendo a visão",,congênitas F81,,,
F93,7,Glaucoma,Glaucoma,"H40, H42",H40,,aumento da pressão intra-ocular,congênito F81,,,
F94,7,Cegueira,Cegueira,"H54.0, H54.1, H54.2, H54.3",H54.3,,cegueira parcial ou total dos dois olhos,visão turva F05; cegueira temporária F05; cegueira de uma vista F28; cegueira provocada pela neve F79; erros de refração F91; daltonismo F99; cegueira noturna F99,,,
F95,7,Estrabismo,Estrabismo,"H49, H50, H51",H50,falta de paralelismo do eixo visual dos olhos diagnosticado durante exame médico,"olhos cruzados, olhos tortos",,movimentos oculares anormais F15,,
F99,7,Outra doenças oculares/anexos,Outra doenças oculares/anexos,"H02.0, H02.1, H02.8, H02.9, H04.0, H04.1, H04.5, H04.6, H04.8, H04.9, H05.2, H05.3, H05.4, H05.5, H05.8, H05.9, H06, H11.0, H11.1, H11.2, H11.4, H11.8, H11.9, H15, H17, H18, H19.3, H19.8, H27, H28, H31, H34, H35.5, H35.6, H35.7, H35.8, H35.9, H43, H44.0, H44.1, H44.2, H44.3, H44.4, H44.5, H44.8, H44.9, H45, H46, H47, H48, H53.4, H53.5, H53.6, H57.0, H57.8, H58, H59, Z94.7",H57.8,,arco senil; ambliopia; daltonismo; opacidade da córnea; ectrópio; entrópio; episclerite; pestana encravada; irite; cegueira noturna; papiledema; pterígio; esclerite; e outras doenças oculares NE,,,,
